Naveen Cal 08
Date:,2014/09/26
Time:,13:12:22
Type:,toppler2
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,leg1,,,leg2,,,leg3,,,torso1,,,torso2,,,torso3,,,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45,,,*46,,,*47
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,-336.915283,72.041359,410.700653,-287.201080,149.043121,257.634094,-326.928680,122.280617,152.551758,-368.181122,-28.166233,808.267517,-354.049438,-26.671021,740.020081,-356.912689,-15.840948,673.183533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-336.897766,72.030937,410.698090,-287.216675,149.041382,257.628418,-326.927948,122.263847,152.542938,-368.175812,-28.160980,808.293762,-354.034058,-26.667576,740.012207,-356.884125,-15.859245,673.191650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-336.897644,72.048195,410.695618,-287.214325,149.058350,257.656494,-326.918945,122.269066,152.555344,-368.164673,-28.172607,808.281372,-354.019318,-26.677107,740.022583,-356.895630,-15.847476,673.193481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-336.908813,72.025139,410.696167,-287.212433,149.051315,257.662415,-326.916443,122.267036,152.575333,-368.163544,-28.162502,808.279114,-354.016785,-26.655870,740.036255,-356.899384,-15.836841,673.188416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-336.904297,72.045647,410.710571,-287.210876,149.032974,257.664398,-326.924316,122.252831,152.583084,-368.162598,-28.166044,808.275269,-354.046783,-26.678011,740.017639,-356.895721,-15.837562,673.194031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,-336.893188,72.035797,410.710083,-287.191467,149.038193,257.680481,-326.921722,122.272705,152.569122,-368.158356,-28.152662,808.290710,-354.036804,-26.668129,740.031799,-356.898926,-15.857016,673.195313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-336.885498,72.061127,410.719482,-287.182129,149.043961,257.646667,-326.911255,122.260460,152.555557,-368.162170,-28.156946,808.263062,-354.042786,-26.683653,740.015930,-356.876068,-15.842443,673.189941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-336.894836,72.038589,410.710510,-287.167664,149.026825,257.646973,-326.901520,122.246681,152.551804,-368.150269,-28.162477,808.283081,-354.034363,-26.659241,740.011475,-356.857208,-15.829035,673.186523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-336.904449,72.049049,410.699432,-287.166779,149.046356,257.653320,-326.902527,122.245522,152.559601,-368.144928,-28.166594,808.273254,-353.998260,-26.664877,740.008423,-356.918121,-15.857350,673.178650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,-336.909760,72.059647,410.703278,-287.209656,149.045807,257.681335,-326.922394,122.240410,152.572571,-368.147400,-28.167223,808.285767,-354.027252,-26.668032,740.001892,-356.915680,-15.853778,673.167114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-336.924042,72.047386,410.720215,-287.205627,149.039612,257.669769,-326.918091,122.278725,152.571655,-368.172577,-28.153833,808.287903,-354.054901,-26.692476,740.019592,-356.927673,-15.847817,673.179810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,-336.902405,72.029922,410.730042,-287.206207,149.042542,257.662079,-326.922882,122.247536,152.580734,-368.161926,-28.156610,808.272217,-354.062469,-26.672091,740.016357,-356.910645,-15.848458,673.189880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-336.911072,72.028732,410.679596,-287.197479,149.045700,257.660400,-326.907501,122.249130,152.555359,-368.163116,-28.160337,808.273132,-354.037079,-26.672729,740.005249,-356.895233,-15.864315,673.186768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,-336.884766,72.043030,410.701416,-287.213226,149.040955,257.622559,-326.901672,122.269203,152.543503,-368.135406,-28.156380,808.260986,-354.021332,-26.668901,740.010864,-356.910858,-15.838929,673.178955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,-336.894897,72.026199,410.725464,-287.179565,149.057770,257.665527,-326.896912,122.255684,152.534912,-368.158020,-28.161398,808.278564,-354.032440,-26.669640,740.025452,-356.904877,-15.841695,673.184692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,-336.887970,72.035622,410.723358,-287.205627,149.047333,257.687256,-326.912354,122.252441,152.565979,-368.158722,-28.161259,808.284851,-354.025238,-26.679411,740.037476,-356.910370,-15.850801,673.193054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,-336.927460,72.031464,410.723022,-287.227203,149.043198,257.671906,-326.925934,122.237419,152.581985,-368.179840,-28.159821,808.285889,-354.047394,-26.680597,740.022949,-356.934998,-15.853198,673.185120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
