Naveen Cal 08
Date:,2014/09/26
Time:,13:12:22
Type:,toppler2
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,leg1,,,leg2,,,leg3,,,torso1,,,torso2,,,torso3,,,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45,,,*46,,,*47
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1159,-336.889587,72.033554,410.719360,-287.198334,149.021988,257.661987,-326.890656,122.257149,152.557755,-368.129333,-28.157219,808.289368,-354.023254,-26.657751,740.020813,-356.891174,-15.841496,673.197449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,-336.898132,72.031769,410.693878,-287.203918,149.038284,257.666321,-326.884949,122.228592,152.561707,-368.134705,-28.166544,808.287781,-353.999023,-26.697678,740.024475,-356.879639,-15.860771,673.206116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,-336.873749,72.024094,410.712036,-287.200256,149.031998,257.660492,-326.885345,122.244614,152.569672,-368.125366,-28.150642,808.263550,-353.985962,-26.689157,740.014648,-356.881012,-15.845869,673.188049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,-336.871277,72.001923,410.713226,-287.184113,149.018646,257.659973,-326.900574,122.254044,152.567001,-368.149689,-28.170877,808.270020,-354.023834,-26.689062,740.002686,-356.878815,-15.873824,673.209229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,-336.888458,72.028473,410.691315,-287.183685,149.015091,257.698090,-326.891815,122.242928,152.575119,-368.137421,-28.165512,808.281128,-354.002228,-26.706118,740.000732,-356.877197,-15.859138,673.203186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,-336.884003,72.026619,410.702362,-287.179779,149.063324,257.662201,-326.908936,122.234375,152.582443,-368.129761,-28.172606,808.273560,-354.014893,-26.699673,740.004700,-356.886749,-15.858977,673.186951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,-336.864716,72.023354,410.710724,-287.167511,149.028336,257.663666,-326.899292,122.216805,152.571060,-368.108551,-28.148335,808.285950,-353.981750,-26.678574,740.007629,-356.896545,-15.841781,673.195496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,-336.880981,72.035889,410.692780,-287.173462,149.032181,257.668732,-326.886078,122.217674,152.600327,-368.110504,-28.155157,808.280884,-353.977905,-26.692665,740.023376,-356.884766,-15.844329,673.167664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,-336.877899,72.025421,410.685791,-287.191772,149.018112,257.670410,-326.880859,122.240761,152.582489,-368.125854,-28.161554,808.284790,-353.993164,-26.662928,740.011230,-356.871765,-15.852056,673.211121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,-336.867035,72.044540,410.696381,-287.154907,149.000748,257.665497,-326.880280,122.238609,152.559006,-368.112030,-28.175196,808.258850,-353.998657,-26.679728,740.023682,-356.881958,-15.870976,673.198975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,-336.871033,72.020142,410.710144,-287.180115,149.015076,257.683380,-326.912933,122.234268,152.575500,-368.132904,-28.179676,808.275085,-353.991577,-26.681993,740.014404,-356.891113,-15.868062,673.189514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,-336.886108,72.017014,410.709167,-287.191956,149.034973,257.657349,-326.889893,122.216911,152.593765,-368.140869,-28.168554,808.284241,-353.998901,-26.679081,740.022461,-356.870972,-15.860520,673.183533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,-336.885742,72.027458,410.709534,-287.176331,149.029724,257.643890,-326.921997,122.240692,152.575867,-368.135529,-28.158222,808.284851,-353.993561,-26.677734,740.017090,-356.885651,-15.853314,673.190979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,-336.886078,72.026779,410.702820,-287.193237,149.023956,257.668060,-326.903107,122.249054,152.568878,-368.126068,-28.148693,808.271606,-354.007629,-26.658018,740.011780,-356.911774,-15.846019,673.186157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,-336.869049,72.026360,410.697266,-287.185547,149.025055,257.674591,-326.889130,122.246475,152.566025,-368.105499,-28.159990,808.272278,-353.987854,-26.679054,740.014526,-356.884888,-15.860953,673.207031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,-336.855988,72.024452,410.710083,-287.185181,149.021011,257.677307,-326.900024,122.212921,152.567474,-368.094513,-28.168621,808.273438,-353.980743,-26.688362,740.017517,-356.896698,-15.850778,673.209351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,-336.864105,72.020927,410.690491,-287.210266,149.022095,257.668396,-326.888092,122.217033,152.571487,-368.115845,-28.162691,808.271667,-353.999115,-26.676828,740.018555,-356.888123,-15.858471,673.193848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,-336.873688,72.051590,410.702484,-287.211395,149.034760,257.662537,-326.902344,122.264366,152.546539,-368.127228,-28.155685,808.275635,-353.996155,-26.673662,740.016663,-356.887512,-15.859847,673.186584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,-336.918884,72.029091,410.705200,-287.194427,149.008636,257.674286,-326.915863,122.242676,152.564499,-368.131561,-28.166880,808.292542,-354.021484,-26.672901,740.017029,-356.903961,-15.864459,673.185303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,-336.888641,72.007652,410.723785,-287.201172,149.040314,257.659180,-326.910522,122.257607,152.564804,-368.139435,-28.161900,808.284729,-354.017029,-26.687662,740.000549,-356.898285,-15.860190,673.169067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,-336.883301,72.017349,410.713470,-287.180634,149.030777,257.667908,-326.911194,122.236862,152.552063,-368.129578,-28.175161,808.300659,-354.010529,-26.690065,739.999207,-356.906403,-15.865734,673.169800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,-336.858734,72.019203,410.702820,-287.166077,149.041656,257.666107,-326.890167,122.246758,152.564850,-368.136108,-28.176353,808.276672,-353.976288,-26.685770,740.024475,-356.881866,-15.864164,673.181152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,-336.878113,72.024239,410.685883,-287.166321,149.007782,257.670990,-326.878174,122.237770,152.561798,-368.116821,-28.185181,808.276611,-353.980835,-26.678185,740.025391,-356.880737,-15.854190,673.197754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,-336.849182,72.013542,410.695526,-287.194794,149.020706,257.683960,-326.883850,122.246399,152.571808,-368.088593,-28.157265,808.272217,-353.980133,-26.681082,740.029053,-356.882172,-15.862541,673.196411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,-336.857666,72.016121,410.711426,-287.194244,149.024399,257.667145,-326.881775,122.241089,152.579514,-368.106232,-28.179058,808.290710,-354.006439,-26.682917,740.028320,-356.861450,-15.860269,673.198303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,-336.881683,72.037628,410.696075,-287.203491,149.025528,257.671814,-326.906494,122.227104,152.570984,-368.117188,-28.165375,808.289612,-353.996307,-26.677214,740.032043,-356.877045,-15.865033,673.185120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,-336.880066,72.035881,410.705048,-287.208801,149.022629,257.630768,-326.902863,122.219704,152.568497,-368.133087,-28.173971,808.271912,-354.006683,-26.688980,740.012451,-356.890137,-15.858272,673.179810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,-336.877075,72.041122,410.695679,-287.183777,149.039825,257.619385,-326.887970,122.248642,152.558517,-368.145294,-28.185434,808.279846,-354.001404,-26.695248,740.000244,-356.871613,-15.858701,673.182678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,-336.856934,72.034142,410.701752,-287.183838,149.017853,257.647705,-326.876587,122.198021,152.569275,-368.136169,-28.170971,808.269470,-353.984894,-26.720755,740.027771,-356.875641,-15.863139,673.207703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,-336.851654,72.020218,410.715820,-287.190735,149.021103,257.662720,-326.912903,122.231682,152.563705,-368.143829,-28.184290,808.273193,-353.989929,-26.693054,740.021484,-356.903931,-15.888370,673.190430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,-336.899750,72.016708,410.700806,-287.205078,149.020035,257.662659,-326.922089,122.244408,152.574081,-368.119537,-28.168808,808.304443,-354.021210,-26.706928,740.018127,-356.900757,-15.875896,673.208130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,-336.884460,72.041466,410.718475,-287.179352,149.025269,257.658539,-326.901184,122.220634,152.595505,-368.102295,-28.157257,808.293030,-353.998566,-26.675255,740.018921,-356.912506,-15.837508,673.177490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,-336.874573,72.023903,410.690399,-287.214630,149.027557,257.667389,-326.911255,122.210861,152.583221,-368.128876,-28.162382,808.288269,-353.999786,-26.700457,740.019714,-356.913574,-15.862502,673.181396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,-336.879150,72.043411,410.728027,-287.204681,149.030640,257.650696,-326.900757,122.246300,152.556488,-368.141235,-28.165474,808.283875,-353.997253,-26.692537,740.022705,-356.896454,-15.865376,673.170288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,-336.877258,72.038971,410.718719,-287.204102,149.031647,257.690979,-326.890900,122.223495,152.565598,-368.118683,-28.176989,808.280334,-354.017670,-26.706207,740.007324,-356.894379,-15.891183,673.189636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,-336.898682,72.016296,410.705780,-287.196777,149.022217,257.675934,-326.874146,122.229065,152.573944,-368.133698,-28.173729,808.291199,-354.006042,-26.680717,740.012451,-356.877228,-15.864395,673.199585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,-336.890320,72.022247,410.696869,-287.218628,149.020035,257.666016,-326.889618,122.232780,152.575638,-368.148254,-28.181780,808.281250,-353.997864,-26.698263,740.036987,-356.890961,-15.871239,673.199951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,-336.869263,72.035889,410.711731,-287.198639,149.027481,257.650177,-326.884460,122.229622,152.591095,-368.113129,-28.173183,808.292053,-354.012146,-26.683390,740.023865,-356.889954,-15.885108,673.215637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,-336.875458,72.018105,410.703827,-287.212311,149.032089,257.625305,-326.907288,122.243362,152.572464,-368.122101,-28.164558,808.285339,-354.006134,-26.663647,740.023315,-356.888245,-15.849225,673.194946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,-336.896210,72.014946,410.695313,-287.203308,149.042236,257.662292,-326.908417,122.223679,152.564346,-368.126862,-28.176447,808.285156,-354.013763,-26.676208,740.025879,-356.893799,-15.843203,673.179871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,-336.866760,72.031334,410.705536,-287.192963,149.016785,257.638123,-326.888916,122.212860,152.598160,-368.138977,-28.144060,808.299316,-354.004242,-26.687559,739.996887,-356.894714,-15.855847,673.173218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,-336.879059,72.022308,410.689026,-287.197968,149.004608,257.668396,-326.893402,122.210762,152.576736,-368.118164,-28.168865,808.259521,-353.996582,-26.687286,740.013489,-356.877747,-15.875072,673.194763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,-336.898499,72.004539,410.706177,-287.193207,149.018280,257.685089,-326.872528,122.214188,152.574829,-368.135437,-28.168451,808.277405,-353.994598,-26.678844,740.004150,-356.885406,-15.880630,673.206909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,-336.893616,72.019821,410.729492,-287.177032,149.028229,257.637604,-326.905151,122.221191,152.577881,-368.141876,-28.173712,808.290283,-353.987000,-26.707537,740.031799,-356.881927,-15.869061,673.204102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,-336.900757,72.019073,410.715851,-287.205322,149.025253,257.662537,-326.902466,122.257423,152.553406,-368.131531,-28.179302,808.305054,-354.012817,-26.693556,740.031250,-356.872803,-15.862320,673.199097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,-336.906525,72.026070,410.699219,-287.204498,149.020676,257.659851,-326.906647,122.216545,152.567581,-368.137207,-28.169640,808.277710,-354.009613,-26.682138,740.020386,-356.886902,-15.856416,673.187622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,-336.899933,72.011246,410.703735,-287.203827,149.068039,257.631622,-326.896973,122.230896,152.561966,-368.159088,-28.179571,808.274170,-353.994507,-26.681982,740.004944,-356.890625,-15.862308,673.166992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,-336.867859,72.016785,410.720551,-287.157745,149.029404,257.664185,-326.892395,122.234886,152.572083,-368.153229,-28.182713,808.275635,-353.982635,-26.673475,740.012817,-356.881927,-15.854773,673.190979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,-336.891022,72.039810,410.702362,-287.177765,149.030579,257.671417,-326.895081,122.222229,152.565582,-368.131958,-28.176592,808.275696,-354.004974,-26.705742,740.027771,-356.885895,-15.861550,673.209534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,-336.884674,72.024689,410.723785,-287.186249,149.027390,257.659149,-326.878693,122.232811,152.577820,-368.133545,-28.186363,808.295532,-354.028320,-26.715178,740.031921,-356.893097,-15.861513,673.198669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,-336.901886,71.991356,410.728668,-287.202026,149.022049,257.650604,-326.895966,122.245003,152.578018,-368.113770,-28.165442,808.302612,-354.000031,-26.689110,740.029236,-356.861389,-15.866365,673.215515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,-336.891724,72.024208,410.717438,-287.216125,149.023849,257.667908,-326.896729,122.218895,152.566696,-368.150635,-28.169968,808.280029,-353.996246,-26.696323,740.027710,-356.904541,-15.853031,673.188049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,-336.883728,72.015160,410.726318,-287.200195,149.038010,257.654999,-326.897552,122.248238,152.561203,-368.143921,-28.155210,808.271606,-354.010254,-26.693911,740.017700,-356.896698,-15.848892,673.180115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,-336.879272,72.024010,410.722748,-287.182495,149.032822,257.654480,-326.901703,122.240128,152.579056,-368.123444,-28.162527,808.270020,-353.995117,-26.672142,739.991394,-356.883453,-15.870660,673.165649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
